image,TP,FP,FN,TN,IoU,Dice,Precision,Recall,F1
1127,474299,2708,1908,132461,0.9904,0.9952,0.9943,0.9960,0.9952
1144,475575,2489,2042,136742,0.9906,0.9953,0.9948,0.9957,0.9953
1225,474716,2905,1565,132331,0.9907,0.9953,0.9939,0.9967,0.9953
1284,472800,2885,2045,134915,0.9897,0.9948,0.9939,0.9957,0.9948
1365,475494,2185,1871,131826,0.9915,0.9958,0.9954,0.9961,0.9958
1491,475144,2070,2648,127878,0.9902,0.9951,0.9957,0.9945,0.9951
413,255674,223133,1335,127458,0.5325,0.6949,0.5340,0.9948,0.6949
483,471909,3489,2769,134337,0.9869,0.9934,0.9927,0.9942,0.9934
623,475020,2668,2551,132406,0.9891,0.9945,0.9944,0.9947,0.9945
745,476672,2866,2039,131209,0.9898,0.9949,0.9940,0.9957,0.9949
833,482656,2670,2122,188458,0.9902,0.9951,0.9945,0.9956,0.9951
907,472441,4776,4233,127270,0.9813,0.9906,0.9900,0.9911,0.9906
973,476315,3308,2002,127795,0.9890,0.9945,0.9931,0.9958,0.9945
993,475088,2844,1966,132465,0.9900,0.9950,0.9940,0.9959,0.9950
