epoch,train_loss,train_iou_s,train_iou_p,val_loss,val_iou_s,val_iou_p,lr
1,2.031822,0.897686,0.115634,1.811580,0.929029,0.267793,0.000100
2,1.637490,0.972351,0.403443,1.624873,0.933736,0.507338,0.000100
3,1.453683,0.977453,0.528645,1.451383,0.934654,0.527338,0.000100
4,1.297253,0.979531,0.576788,1.327599,0.933353,0.540689,0.000099
5,1.159851,0.980995,0.615285,1.202318,0.934279,0.569573,0.000099
6,1.036069,0.981990,0.653911,1.089240,0.933996,0.614715,0.000099
7,0.920856,0.982364,0.682813,1.009154,0.934720,0.672757,0.000098
8,0.806752,0.983112,0.716240,0.908462,0.935717,0.669673,0.000098
9,0.694728,0.983565,0.744985,0.811435,0.934730,0.679565,0.000097
10,0.588595,0.984246,0.768693,0.715838,0.935409,0.716632,0.000096
11,0.494082,0.984503,0.790913,0.667278,0.934076,0.727677,0.000095
12,0.413275,0.984877,0.808102,0.615775,0.935665,0.724369,0.000095
13,0.350375,0.985171,0.822690,0.564712,0.934736,0.732449,0.000094
14,0.302154,0.985601,0.826873,0.536258,0.934659,0.727585,0.000093
15,0.262543,0.985863,0.838165,0.501091,0.933889,0.735199,0.000092
16,0.232314,0.986305,0.842486,0.504364,0.935316,0.749397,0.000091
17,0.208458,0.986472,0.851048,0.500093,0.934943,0.748316,0.000089
18,0.188948,0.986844,0.858546,0.483503,0.935637,0.746773,0.000088
19,0.175011,0.987067,0.860922,0.468617,0.935381,0.740454,0.000087
20,0.162402,0.987467,0.864472,0.465955,0.934373,0.752696,0.000086
21,0.153836,0.987658,0.867022,0.462944,0.934521,0.752249,0.000084
22,0.143818,0.987849,0.870840,0.467477,0.935094,0.736814,0.000083
23,0.136999,0.987946,0.872736,0.452254,0.935583,0.758710,0.000081
24,0.131628,0.988132,0.875308,0.463012,0.935286,0.755657,0.000080
25,0.125190,0.988358,0.878211,0.463681,0.934633,0.748186,0.000078
26,0.119966,0.988503,0.880827,0.467796,0.935166,0.751151,0.000076
27,0.116137,0.988623,0.882733,0.463023,0.934909,0.751978,0.000075
28,0.112892,0.988828,0.884515,0.470005,0.934231,0.750565,0.000073
29,0.108416,0.988862,0.887810,0.472122,0.933830,0.749348,0.000071
30,0.105967,0.988862,0.887952,0.484264,0.934239,0.757106,0.000069
31,0.103575,0.989063,0.889838,0.480340,0.933671,0.748632,0.000068
32,0.099545,0.989317,0.892373,0.475697,0.934945,0.761592,0.000066
33,0.097372,0.989530,0.893653,0.484103,0.933821,0.752153,0.000064
34,0.094889,0.989578,0.895819,0.472704,0.934763,0.753567,0.000062
35,0.092920,0.989642,0.897135,0.474494,0.934244,0.749885,0.000060
36,0.091473,0.989798,0.898347,0.471602,0.934918,0.755426,0.000058
37,0.088970,0.989865,0.900301,0.487014,0.934022,0.753758,0.000056
38,0.087140,0.989953,0.902271,0.495858,0.933424,0.754633,0.000054
39,0.085723,0.990100,0.903381,0.491669,0.934798,0.748598,0.000052
40,0.084189,0.990193,0.904398,0.488346,0.934521,0.754670,0.000051
41,0.082353,0.990363,0.905866,0.498709,0.934418,0.752126,0.000049
42,0.081159,0.990394,0.907203,0.494050,0.934009,0.752598,0.000047
43,0.079406,0.990544,0.909204,0.504932,0.934271,0.754157,0.000045
44,0.077790,0.990656,0.910931,0.510065,0.933910,0.752445,0.000043
45,0.076453,0.990743,0.911261,0.502246,0.934403,0.754338,0.000041
46,0.074748,0.990868,0.913177,0.502295,0.934498,0.753443,0.000039
47,0.073989,0.990948,0.915337,0.513567,0.933988,0.756649,0.000037
