image,TP,FP,FN,TN,IoU,Dice,Precision,Recall,F1
1127,14787,1291,2318,592980,0.8038,0.8912,0.9197,0.8645,0.8912
1144,15021,1262,1441,599124,0.8475,0.9175,0.9225,0.9125,0.9175
1225,18417,1232,1024,590844,0.8909,0.9423,0.9373,0.9473,0.9423
1284,19647,1042,1263,590693,0.8950,0.9446,0.9496,0.9396,0.9446
1365,22096,1255,1484,586541,0.8897,0.9416,0.9463,0.9371,0.9416
1491,22010,1392,1167,583171,0.8958,0.9451,0.9405,0.9496,0.9451
413,16750,2465,1053,587332,0.8264,0.9050,0.8717,0.9409,0.9050
483,17074,1811,3243,590376,0.7716,0.8711,0.9041,0.8404,0.8711
623,15013,1986,2919,592727,0.7537,0.8596,0.8832,0.8372,0.8596
745,14707,1424,1137,595518,0.8517,0.9199,0.9117,0.9282,0.9199
833,21369,1227,956,652354,0.9073,0.9514,0.9457,0.9572,0.9514
907,16117,1120,1342,590141,0.8675,0.9290,0.9350,0.9231,0.9290
973,15368,1462,3971,588619,0.7388,0.8498,0.9131,0.7947,0.8498
993,15666,1255,1143,594299,0.8672,0.9289,0.9258,0.9320,0.9289
